clock_name,description,modality,year,n_features,citation,doi
altumage,Pan-tissue deep-learning DNAm age predictor (20K CpGs),methylation,2022,20318,"de Lima Camillo, Lucas Paulo, Louis R. Lapierre, and Ritambhara Singh. ""A pan-tissue DNA-methylation epigenetic clock based on deep learning."" npj Aging 8.1 (2022): 4.",https://doi.org/10.1038/s41514-022-00085-y
biolearn_AD_Bahado-Singh,DNAm Alzheimer's disease risk predictor (4 CpGs),methylation,2015,4,"Bahado-Singh RO, et al. ""Epigenome-wide association study of Alzheimer's disease."" Clin Epigenetics 7 (2015): 55.",https://doi.org/10.1186/s13148-015-0093-5
biolearn_Alcohol,DNAm alcohol consumption predictor (450 CpGs),methylation,2018,450,"Liu C, et al. ""A DNA methylation biomarker of alcohol consumption."" Mol Psychiatry 23.2 (2018): 422-433.",https://doi.org/10.1038/mp.2016.192
biolearn_BMI_Reed,"DNAm BMI predictor (135 CpGs, Reed method)",methylation,2020,136,"Reed ZE, et al. ""A longitudinal study of the DNA methylation score for smoking and development of BMI and lung function."" Epigenomics 12.16 (2020): 1393-1410.",https://doi.org/10.2217/epi-2019-0400
biolearn_Bocklandt,"Single-CpG saliva age predictor (1 CpG, EDARADD promoter)",methylation,2011,1,"Bocklandt S, et al. ""Epigenetic predictor of age."" PLoS ONE 6.6 (2011): e14821.",https://doi.org/10.1371/journal.pone.0014821
biolearn_Bohlin,Gestational age predictor from cord blood (251 CpGs),methylation,2016,251,"Bohlin J, et al. ""Prediction of gestational age based on genome-wide differentially methylated regions."" Genome Biol 17.1 (2016): 207.",https://doi.org/10.1186/s13059-016-1063-4
biolearn_CVD_Westermann,DNAm cardiovascular disease risk predictor (235 CpGs),methylation,2020,235,"Westerman KE, et al. ""Epigenomic Assessment of Cardiovascular Disease Risk."" Circ Genom Precis Med 13.3 (2020): e002721.",https://doi.org/10.1161/CIRCGEN.119.002721
biolearn_DNAmClockCortical,Brain cortex DNAm age predictor (347 CpGs),methylation,2020,347,"Shireby GL, et al. ""Recalibrating the epigenetic clock: implications for assessing biological age in the human cortex."" Brain 143.12 (2020): 3763-3775.",https://doi.org/10.1093/brain/awaa334
biolearn_DepressionBarbu,DNAm major depression risk predictor (196 CpGs),methylation,2021,197,"Barbu MC, et al. ""Epigenetic prediction of major depressive disorder."" Mol Psychiatry 26 (2021): 5112-5123.",https://doi.org/10.1038/s41380-020-0808-3
biolearn_DunedinPoAm38,"Pace of aging (original 2020 version, 46 CpGs)",methylation,2020,47,"Belsky DW, et al. ""Quantification of the pace of biological aging in humans through a blood test, the DunedinPoAm DNA methylation algorithm."" eLife 9 (2020): e54870.",https://doi.org/10.7554/eLife.54870
biolearn_GrimAgeV1_COX,GrimAge v1 sub-model: COX,methylation,2019,10,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmADM,GrimAge v1 sub-model: DNAmADM,methylation,2019,188,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmB2M,GrimAge v1 sub-model: DNAmB2M,methylation,2019,93,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmCystatinC,GrimAge v1 sub-model: DNAmCystatinC,methylation,2019,89,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmGDF15,GrimAge v1 sub-model: DNAmGDF15,methylation,2019,139,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmLeptin,GrimAge v1 sub-model: DNAmLeptin,methylation,2019,188,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmPACKYRS,GrimAge v1 sub-model: DNAmPACKYRS,methylation,2019,174,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmPAI1,GrimAge v1 sub-model: DNAmPAI1,methylation,2019,212,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_DNAmTIMP1,GrimAge v1 sub-model: DNAmTIMP1,methylation,2019,44,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV1_transform,GrimAge v1 sub-model: transform,methylation,2019,4,"Lu AT, et al. ""DNA methylation GrimAge strongly predicts lifespan and healthspan."" Aging 11.2 (2019): 303-327.",https://doi.org/10.18632/aging.101684
biolearn_GrimAgeV2_COX,GrimAge v2 sub-model: COX,methylation,2022,12,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmB2M,GrimAge v2 sub-model: DNAmB2M,methylation,2022,93,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmCystatinC,GrimAge v2 sub-model: DNAmCystatinC,methylation,2022,89,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmGDF15,GrimAge v2 sub-model: DNAmGDF15,methylation,2022,139,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmLeptin,GrimAge v2 sub-model: DNAmLeptin,methylation,2022,188,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmPAI1,GrimAge v2 sub-model: DNAmPAI1,methylation,2022,212,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmTIMP1,GrimAge v2 sub-model: DNAmTIMP1,methylation,2022,44,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmlogA1C,GrimAge v2 sub-model: DNAmlogA1C,methylation,2022,88,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_DNAmlogCRP,GrimAge v2 sub-model: DNAmlogCRP,methylation,2022,133,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_GrimAgeV2_transform,GrimAge v2 sub-model: transform,methylation,2022,4,"Lu AT, et al. ""DNA methylation GrimAge version 2."" Aging (Albany NY) 14.23 (2022): 9484-9549.",https://doi.org/10.18632/aging.204434
biolearn_HepatoXu,DNAm liver fibrosis/hepatocellular carcinoma predictor (11 CpGs),methylation,2021,11,"Xu Z, et al. ""Liver-Specific DNA Methylation Markers Predict Hepatocellular Carcinoma."" Hepatology 74.3 (2021): 1405-1422.",https://doi.org/10.1002/hep.31900
biolearn_Mayne,Placental gestational age predictor (62 CpGs),methylation,2017,62,"Mayne BT, et al. ""Accelerated placental aging in early onset preeclampsia pregnancies identified by DNA methylation."" Epigenomics 9.3 (2017): 279-289.",https://doi.org/10.2217/epi-2016-0103
biolearn_MiAge,DNA methylation-based mitotic age calculator (268 CpGs),methylation,2016,268,"Youn A, Wang S. ""The MiAge Calculator: a DNA methylation-based mitotic age calculator of human tissue types."" Epigenetics 13.2 (2018): 192-206.",https://doi.org/10.1080/15592294.2017.1389361
biolearn_OrganAge1500Chronological_Adipose,OrganAge 1500-protein chronological age — Adipose,proteomics,2023,5,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Adrenal,OrganAge 1500-protein chronological age — Adrenal,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Artery,OrganAge 1500-protein chronological age — Artery,proteomics,2023,11,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Brain,OrganAge 1500-protein chronological age — Brain,proteomics,2023,47,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Conventional,OrganAge 1500-protein chronological age — Conventional,proteomics,2023,1329,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Esophagus,OrganAge 1500-protein chronological age — Esophagus,proteomics,2023,2,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Female,OrganAge 1500-protein chronological age — Female,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Heart,OrganAge 1500-protein chronological age — Heart,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Immune,OrganAge 1500-protein chronological age — Immune,proteomics,2023,86,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Intestine,OrganAge 1500-protein chronological age — Intestine,proteomics,2023,18,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Kidney,OrganAge 1500-protein chronological age — Kidney,proteomics,2023,6,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Liver,OrganAge 1500-protein chronological age — Liver,proteomics,2023,29,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Lung,OrganAge 1500-protein chronological age — Lung,proteomics,2023,10,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Male,OrganAge 1500-protein chronological age — Male,proteomics,2023,12,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Multi-organ,OrganAge 1500-protein chronological age — Multi-organ,proteomics,2023,279,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Muscle,OrganAge 1500-protein chronological age — Muscle,proteomics,2023,5,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Organismal,OrganAge 1500-protein chronological age — Organismal,proteomics,2023,1099,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Pancreas,OrganAge 1500-protein chronological age — Pancreas,proteomics,2023,21,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Pituitary,OrganAge 1500-protein chronological age — Pituitary,proteomics,2023,9,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Salivary,OrganAge 1500-protein chronological age — Salivary,proteomics,2023,5,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Skin,OrganAge 1500-protein chronological age — Skin,proteomics,2023,12,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Chronological_Stomach,OrganAge 1500-protein chronological age — Stomach,proteomics,2023,8,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Adipose,OrganAge 1500-protein mortality — Adipose,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Adrenal,OrganAge 1500-protein mortality — Adrenal,proteomics,2023,1,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Artery,OrganAge 1500-protein mortality — Artery,proteomics,2023,9,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Brain,OrganAge 1500-protein mortality — Brain,proteomics,2023,39,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Conventional,OrganAge 1500-protein mortality — Conventional,proteomics,2023,185,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Esophagus,OrganAge 1500-protein mortality — Esophagus,proteomics,2023,1,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Female,OrganAge 1500-protein mortality — Female,proteomics,2023,3,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Heart,OrganAge 1500-protein mortality — Heart,proteomics,2023,3,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Immune,OrganAge 1500-protein mortality — Immune,proteomics,2023,78,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Intestine,OrganAge 1500-protein mortality — Intestine,proteomics,2023,16,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Kidney,OrganAge 1500-protein mortality — Kidney,proteomics,2023,3,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Liver,OrganAge 1500-protein mortality — Liver,proteomics,2023,26,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Lung,OrganAge 1500-protein mortality — Lung,proteomics,2023,9,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Male,OrganAge 1500-protein mortality — Male,proteomics,2023,6,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Multi-organ,OrganAge 1500-protein mortality — Multi-organ,proteomics,2023,167,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Muscle,OrganAge 1500-protein mortality — Muscle,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Organismal,OrganAge 1500-protein mortality — Organismal,proteomics,2023,210,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Pancreas,OrganAge 1500-protein mortality — Pancreas,proteomics,2023,18,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Pituitary,OrganAge 1500-protein mortality — Pituitary,proteomics,2023,8,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Salivary,OrganAge 1500-protein mortality — Salivary,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Skin,OrganAge 1500-protein mortality — Skin,proteomics,2023,11,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAge1500Mortality_Stomach,OrganAge 1500-protein mortality — Stomach,proteomics,2023,4,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Adipose,OrganAge chronological age — Adipose,proteomics,2023,6,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Adrenal,OrganAge chronological age — Adrenal,proteomics,2023,5,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Artery,OrganAge chronological age — Artery,proteomics,2023,15,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Brain,OrganAge chronological age — Brain,proteomics,2023,119,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Conventional,OrganAge chronological age — Conventional,proteomics,2023,2316,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Esophagus,OrganAge chronological age — Esophagus,proteomics,2023,6,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Female,OrganAge chronological age — Female,proteomics,2023,7,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Heart,OrganAge chronological age — Heart,proteomics,2023,8,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Immune,OrganAge chronological age — Immune,proteomics,2023,124,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Intestine,OrganAge chronological age — Intestine,proteomics,2023,32,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Kidney,OrganAge chronological age — Kidney,proteomics,2023,10,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Liver,OrganAge chronological age — Liver,proteomics,2023,80,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Lung,OrganAge chronological age — Lung,proteomics,2023,12,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Male,OrganAge chronological age — Male,proteomics,2023,56,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Multi-organ,OrganAge chronological age — Multi-organ,proteomics,2023,553,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Muscle,OrganAge chronological age — Muscle,proteomics,2023,21,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Organismal,OrganAge chronological age — Organismal,proteomics,2023,1562,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Pancreas,OrganAge chronological age — Pancreas,proteomics,2023,29,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Pituitary,OrganAge chronological age — Pituitary,proteomics,2023,13,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Salivary,OrganAge chronological age — Salivary,proteomics,2023,11,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Skin,OrganAge chronological age — Skin,proteomics,2023,18,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Stomach,OrganAge chronological age — Stomach,proteomics,2023,13,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
biolearn_OrganAgeChronological_Thyroid,OrganAge chronological age — Thyroid,proteomics,2023,3,"Oh HS-H, et al. ""Organ aging signatures in the plasma proteome track health and disease."" Nature 624 (2023): 164-172.",https://doi.org/10.1038/s41586-023-06802-1
